ticker,nome_da_empresa,data_da_analise,patrimonio_liquido,quant_on_pn,ebit12_meses,preco_de_fechamento,ativo_total,fator_cotacao,retorno12_meses,retorno6_meses,retorno3_meses,retorno1_mes,lc,volatilidade_anualizada12_meses,volatilidade_anualizada6_meses,volatilidade_anualizada3_meses,volatilidade_anualizada1_mes,ev,valor_de_mercado
TMCP4,TELEMIG PART,30/12/2003,1798932000,37488000,150198000,"4,8",2655000000,1000,[],[],[],[],"2,29764409257",[],[],[],[],"2266508170,99","2002513170,99"
TNEP4,TELE NORD CL,30/12/2003,877042000,359268490000,199131000,"4,1",1525275000,1000,[],[],[],[],"1,80387550941",[],[],[],[],"986948586,48","1277626586,48"
TNLP3,TELEMAR,30/12/2003,25182323000,476662000,2243839000,"35,2",77696700000,1000,"76,0000000001","42,7991886408","10,6918238994","7,48091603053","1,47885364347","37,4605394569","35,5882840257","32,601658044","22,1095695404","23763985160,9","16408604160,9"
TNLP4,TELEMAR,30/12/2003,25182323000,476662000,2243839000,"45,42",77696700000,1000,"66,3736263735","33,5882352939","9,02544407098","4,65437788001","1,47885364347","33,1654504765","30,7243921959","26,7247968507","19,7189912404","23763985160,9","16408604160,9"
TRPL4,TRAN PAULIST,30/12/2003,17198226000,658883304,3148043000,"13,85",33749701000,1000,"179,267069017","118,956338368","41,6155419225","2,74480712176","3,15159194863","37,9185431655","36,9288607199","38,0515439588","31,6054886908","1904005734,75","2067597734,75"
VALE3,VALE,30/12/2003,197477000000,4539007000,69271000000,"169,5",444773000000,1,"72,8306573816","104,130048944","40,3372937499","26,4453562104","1,11800752336","28,7585424759","30,9037876194","34,9158162756","37,0999134529",67478097700,62770505700
VCPA4,FIBRIA,30/12/2003,14222844000,553733881,6720798000,"182,7",40818649000,1000,[],[],[],[],"1,46140482583",[],[],[],[],"9240807107,3","7001557107,3"
ACES4,ARCELORMITTAL INOX BRASIL,30/12/2002,3105796000,74320000,947611000,"0,92",4922356000,1000,"33,3333333332","55,9322033896","53,3333333332","9,52380952375","2,05119560681","44,7040482058","46,7680719444","43,287300827","45,591624289",[],[]
AMBV4,AMBEV,30/12/2002,32157281000,3132287000,14514899000,540,51753315000,1000,"15,7356753759","24,9250348964","26,0817481826","-0,370841866358","1,17979270659","33,6277869465","37,1796310965","37,5085320923","20,9758162602",24403786214,19875848214
BBAS3,BRASIL,30/12/2002,168133312000,2865417020,36731922000,"9,8","2,089927595E+12",1000,"-1,41181757055","19,7000113975","15,8392434997","-1,60642570231",[],"54,7029614038","59,1434261102","48,0530036672","41,0191838093","-4614212041,2","7284099958,8"
BBDC4,BRADESCO,30/12/2002,163046282000,10658488000,18568353000,"11,05","1,828731521E+12",1000,"-9,72130873207","0,357873584012","29,7843002537","13,9520814495",[],"42,218620512","50,7235403849","44,6157578122","40,8292983654","12815629630,6","15266574630,6"
