TICKER,Nome da Empresa,Data da Análise,Preço de Fechamento,data,ano,PL,QNT,EBIT,AT,VM
SUZB3,SUZANO S.A.,29/12/2022,48.24,2022-12-29,2022,331.66365,13.61263584,219.38413,1331.97968,656.6735529216
TAEE11,TAESA,29/12/2022,34.67,2022-12-29,2022,65.70476,10.33497,18.76401,173.09081,358.3134099
TIMS3,TIM,29/12/2022,12.4,2022-12-29,2022,253.97365,24.20816645,32.21503,564.08367,300.18126398000004
TOTS3,TOTVS,29/12/2022,27.62,2022-12-29,2022,45.84849,6.17183181,6.41517,106.16193,170.4659945922
UGPA3,ULTRAPAR,29/12/2022,12.61,2022-12-29,2022,121.74968,11.151730800000001,33.36752,364.41003,140.623325388
VALE3,VALE,29/12/2022,88.88,2022-12-29,2022,1948.94,47.78889,887.1,4533.87,4247.4765432
VBBR3,VIBRA,29/12/2022,15.55,2022-12-29,2022,126.13,11.65,39.65,411.1,181.15750000000003
VIIA3,VIA,29/12/2022,2.4,2022-12-29,2022,52.84,15.98431,11.21,355.74,38.362344
VIVT3,TELEF BRASIL,29/12/2022,38.35,2022-12-29,2022,684.55847,16.769382710000002,66.21653,1191.21483,643.1058269285
WEGE3,WEG,29/12/2022,38.51,2022-12-29,2022,152.48355,41.97317998,50.51587,281.3466,1616.3871610298
YDUQ3,YDUQS PART,29/12/2022,10.17,2022-12-29,2022,29.60059,3.09089,6.17413,90.49207,31.4343513
ABEV3,AMBEV S/A,29/12/2021,15.45,2021-12-29,2021,833.27827,157.50217,176.87946,1379.58083,2433.4085265
ALPA4,ALPARGATAS,29/12/2021,36.35,2021-12-29,2021,57.59758,6.8306222199999995,3.86977,84.9968,248.29311769699999
AMER3,AMERICANAS,29/12/2021,31.02,2021-12-29,2021,147.05555,9.09774507,11.65519,470.84128,282.2120520714
ASAI3,ASSAI,29/12/2021,12.84,2021-12-29,2021,38.96,13.49165,28.06,406.18,173.232786
AZUL4,AZUL,29/12/2021,23.86,2021-12-29,2021,-190.075,12.64588466,14.29555,187.21293,301.7308079876
B3SA3,B3,29/12/2021,11.08,2021-12-29,2021,202.83143,60.99,55.72314,475.94773,675.7692000000001
BBAS3,BRASIL,29/12/2021,28.96,2021-12-29,2021,1630.77123,28.6541702,331.90566,20077.27977,829.824768992
BBDC3,BRADESCO,29/12/2021,16.29,2021-12-29,2021,1587.41264,106.58488,228.54023,17996.15675,1736.2676952
BBDC4,BRADESCO,29/12/2021,19.3,2021-12-29,2021,1587.41264,106.58488,228.54023,17996.15675,2057.088184
BBSE3,BBSEGURIDADE,29/12/2021,20.67,2021-12-29,2021,75.96101,20.0,36.81904,161.29832,413.40000000000003
