ticker,nome_da_empresa,data_da_analise,patrimonio_liquido,quant_on_pn,ebit12_meses,preco_de_fechamento,ativo_total,fator_cotacao,retorno12_meses
CTIP3,CETIP,29/12/2014,1486255000,262978823,454131000,"32,21",3449512000,1,"40,8088313913"
CYRE3,CYRELA REALT,29/12/2014,7870905000,399743000,699112000,"11,02",16321140000,1,"-20,9579035155"
DTEX3,DEXCO,29/12/2014,6035184000,837059000,1348349000,"8,1",15625433000,1,"-38,4030418248"
ECOR3,ECORODOVIAS,29/12/2014,2631712000,696334000,1826187000,"10,76",19277195000,1,"-18,3302639023"
ELET3,ELETROBRAS,29/12/2014,111017341000,2307099000,6274467000,"5,92",267830877000,1,"6,49707913262"
ELPL4,ELETROPAULO,29/12/2014,2814381000,197467000,3696657000,"9,02",30088218000,1,"-3,63247863244"
EMBR3,EMBRAER,29/12/2014,14082568000,740465000,-654119000,"24,75",53129321000,1,"33,1249953603"
ENBR3,ENERGIAS BR,29/12/2014,12366216000,581165000,3220950000,"9,25",37252581000,1,"-12,4970286268"
ESTC3,YDUQS PART,29/12/2014,3114113000,309088000,707115000,"25,65",9573709000,1,"26,7169916122"
EVEN3,EVEN,29/12/2014,2792616000,212000000,163961000,"5,3",6731478000,1,"-32,2005179369"
FIBR3,FIBRIA,29/12/2014,14222844000,553733881,6720798000,"33,13",40818649000,1,"19,8191681736"
GFSA3,GAFISA,29/12/2014,1783263000,51140000,-174064000,"2,15",5372512000,1,"-37,6652066764"
GGBR4,GERDAU,29/12/2014,48802167000,1757067050,15833150000,"9,64",75746608000,1,"-47,4372955289"
GOAU4,GERDAU MET,29/12/2014,49822526000,1033840804,15770630000,"11,3",76759564000,1,"-50,7945423081"
GOLL4,GOL,29/12/2014,-21040743000,3200516077,1276468000,"14,99",16993858000,1,"43,034351145"
HGTX3,CIA HERING,29/12/2014,1704935000,162534000,-8613000,20,2457826000,1,"-30,5265012291"
HYPE3,HYPERA,29/12/2014,10817187000,633420823,2531682000,"16,85",22517989000,1,"-4,53257790372"
ITSA4,ITAUSA,29/12/2014,77419000000,9701410000,3061000000,"9,51",97875000000,1,"22,3052280903"
ITUB4,ITAUUNIBANCO,29/12/2014,181519000000,9804135000,35983000000,"34,8","2,388492E+12",1,"11,0047846888"
JBSS3,JBS,29/12/2014,48067967000,2218116370,16558463000,"11,42",200211568000,1,"31,5275733694"
KLBN11,KLABIN S/A,29/12/2014,12762792000,5617892756,6783862000,"14,5",49381534000,1,"14863,1282942"
KROT3,COGNA ON,29/12/2014,13289154000,1876606210,405666000,"16,58",25825690000,1,"75,1673458248"
LAME4,LOJAS AMERIC,29/12/2014,16066695000,1885307731,1126807000,"17,18",43736188000,1,"37,6427253801"
LIGT3,LIGHT S/A,29/12/2014,2952139000,372555324,-1753530000,"17,16",23825786000,1,"-14,5958952779"
LREN3,LOJAS RENNER,29/12/2014,9665782000,963227000,1236898000,"76,09",19691820000,1,"27,4211867903"
MRFG3,MARFRIG,29/12/2014,24665431000,660000000,7140513000,"6,15",131530716000,1,"53,7500000001"
MRVE3,MRV,29/12/2014,6705646000,483233000,318692000,"7,62",22739681000,1,"-5,57700166472"
NATU3,NATURA,29/12/2014,6077038000,920205000,1587235000,"32,5",24475391000,1,"-17,4249415852"
OIBR4,OI,29/12/2014,-21846002000,6603037000,-18261908000,"8,68",29616098000,1,"141,782729806"
PCAR4,P.ACUCAR-CBD,29/12/2014,13667000000,270139000,-690000000,"99,67",43454000000,1,"-4,99475741115"
PDGR3,PDG REALT,29/12/2014,-5091468000,3221000,-1152000,"0,86",1131726000,1,"-52,4861878453"
PETR3,PETROBRAS,29/12/2014,403405000000,13044496930,289398000000,"9,87",978577000000,1,"-36,0918200633"
PETR4,PETROBRAS,29/12/2014,403405000000,13044496930,289398000000,"10,28",978577000000,1,"-35,9799483502"
POMO4,MARCOPOLO,29/12/2014,3172766000,946892882,532693000,"3,36",7269487000,1,"-31,7565390241"
QUAL3,QUALICORP,29/12/2014,1375870000,284014325,303757000,"27,22",4607925000,1,"20,9777777772"
RENT3,LOCALIZA,29/12/2014,20853910000,988436000,5217016000,"36,6",66364903000,1,"11,5489335632"
RLOG3,COSAN LOG,29/12/2014,13567578000,463224241,2050852000,"2,85",46607632000,1,[]
RSID3,ROSSI RESID,29/12/2014,-1158473000,20000000,-276967000,"4,11",669300000,1,"-59,705882353"
SANB11,SANTANDER BR,29/12/2014,112529100000,7498531000,15995913000,"13,5","1,025113074E+12",1,"17,8013259312"
SBSP3,SABESP,29/12/2014,28080745000,683509869,4878257000,"17,72",56926791000,1,"-30,4800965072"
TBLE3,ENGIE BRASIL,29/12/2014,9248206000,815927740,5193568000,"33,98",39605625000,1,"-0,894713491909"
TIMP3,TIM PART S/A,29/12/2014,22847754000,2421032479,3053069000,"11,95",39831158000,1,"-3,08191403082"
UGPA3,ULTRAPAR,29/12/2014,12369547000,1115204291,3452700000,"52,44",33808035000,1,"-3,74390416029"
VALE3,VALE,29/12/2014,197477000000,4539007000,69271000000,"22,11",444773000000,1,"-33,9546672201"
VIVT4,TELEF BRASIL,29/12/2014,68820424000,1663556731,6866537000,"47,6",121842519000,1,"13,8959013145"
ABEV3,AMBEV S/A,27/12/2013,86436867000,15753833000,18412913000,"17,1",135466722000,1,[]
AEDU3,ANHANGUERA,27/12/2013,2415396000,437070783,200672000,"14,64",3714526000,1,"27,0830482196"
ALLL3,RUMO S.A.,27/12/2013,15487460000,1854158791,3202312000,"6,38",45466781000,1,"-22,6111876348"
BBAS3,BRASIL,27/12/2013,168133312000,2865417020,36731922000,"24,28","2,089927595E+12",1,"4,70496774054"
BBDC3,BRADESCO,27/12/2013,163046282000,10658488000,18568353000,"31,3","1,828731521E+12",1,"4,02639320645"
BBDC4,BRADESCO,27/12/2013,163046282000,10658488000,18568353000,"28,88","1,828731521E+12",1,"-6,97988446303"
BISA3,BROOKFIELD,27/12/2013,1812476000,1339603865,-971079000,"1,1",6586991000,1,"-67,8362573099"
BRAP4,BRADESPAR,27/12/2013,7434838000,393097000,-52026000,"24,68",8017832000,1,"-20,7567076291"
BRFS3,BRF SA,27/12/2013,10857054000,1078116849,210368000,"48,42",57742806000,1,"16,4303268254"
BRML3,BR MALLS PAR,27/12/2013,11392188000,828274000,842056000,"16,97",18005279000,1,"-35,9225728347"
BRPR3,BR PROPERT,27/12/2013,1862154000,11611000,-2113205000,"18,53",4775531000,1,"-25,6207507993"
BTOW3,AMERICANAS,27/12/2013,14705555000,909774507,1165519000,"15,65",47084128000,1,"-7,94117647051"
BVMF3,B3,27/12/2013,20559657000,6099000000,5501567000,"10,9",45806400000,1,"-18,4670372983"
CCRO3,CCR SA,27/12/2013,12454743000,2020000000,5238979000,"17,59",50784482000,1,"-5,7601682091"
CIEL3,CIELO,27/12/2013,14074509000,2716815061,2998070000,"65,27",100074287000,1,"43,2400924849"
CMIG4,CEMIG,27/12/2013,22797430000,2201371000,5102422000,"14,25",54085360000,1,"1,51267124756"
CPFE3,CPFL ENERGIA,27/12/2013,19185907000,1152254440,10594153000,"18,88",72470214000,1,"-8,06294037877"
CRUZ3,SOUZA CRUZ,27/12/2013,1877345000,1528451000,2349369000,"23,85",5869178000,1,"-19,6209112458"
CSAN3,COSAN,27/12/2013,47493020000,1874070932,8402310000,"39,28",131954488000,1,"-4,2745655636"
